insect_OTU,mean_pollen_load,taxonomic_level
Bombus_festivus,48,OTU
Bombus_funerarius,273.1973684,genus
Bombus_hypnorum,273.1973684,genus
Bombus_kashmirensis,273.1973684,genus
Bombus_luteipes,273.1973684,genus
Bombus_melanurus,107,OTU
Bombus_miniatus,308,OTU
Bombus_nobilis,273.1973684,genus
Bombus_novus,273.1973684,genus
Bombus_rotundiceps,273.1973684,genus
Bombus_trifasciatus,136.3333333,OTU
Bombus_tunicatus,308.5666667,OTU
Bombyliidae_sp_01,8,genus
Bombylius_sp_01,8,family
Braconidae_sp_01,2,OTU
Caligula_lindia,4.376237624,order
Callerebia_nirmala,1.428571429,family
Callerebia_scanda,1.428571429,family
Calliphora_sp_01,12,OTU
Calliphora_sp_02,12,genus
Calliphora_sp_03,12,genus
Calliphoridae,13.58083832,OTU
Calvia_sp_01,4,family
Carpocoris_sp_01,28,order
Carterocephalus_avanti,4.376237624,order
Celastrina,2.252252252,OTU
Celastrina_argiolus,4,OTU
Celastrina_huegilii,2.252252252,genus
Celastrina_lavendularis,2.213592233,OTU
Centris_sp_01,103.7142857,family
Ceratina,16,OTU
Ceratina_sp_01,16,OTU
Cerceris,16.5,OTU
Cerceris_sp_01,18.8,OTU
Cerceris_sp_02,16.5,genus
Cerceris_sp_03,2,OTU
Cerceris_sp_04,18,OTU
Cerceris_sp_05,18,OTU
Cerceris_sp_06,16.5,genus
Chaetexorista_sp_01,21,family
Chaetoprocta_odata,2.216666667,family
Cheilosia,63.64705882,family
Cheilosia_sp_01,63.64705882,family
Cheilosia_sp_02,63.64705882,family
Cheilosia_sp_03,63.64705882,family
Cheilosia_sp_04,63.64705882,family
Chlorophorus,27.81052632,order
Chlorophorus_sp_01,27.81052632,order
Chrysolina_sp_01,27.81052632,order
Chrysomela_chlorina,27.81052632,order
Chrysomela_sp_01,27.81052632,order
Chrysomelidae_sp_03,27.81052632,order
Chrysomelidae_sp_04,27.81052632,order
Chrysomya_sp_01,13.58083832,family
Chrysotoxum_sp_01,18,OTU
Chrysotoxum_sp_02,18,genus
Cidaphus_sp_01,121.0471698,order
Cladarctia_quadriramosa,4.376237624,order
Cletus_sp_01,28,order
Cletus_sp_02,28,order
Clytrasoma_sp_01,27.81052632,order
Coccinella_sp_01,4,family
Coelioxys,104,family
Coelioxys_sp_01,104,family
Coelioxys_sp_02,104,family
Coelioxys_sp_03,104,family
Coleoptera,27.81052632,OTU
Coleoptera_sp_01,27.81052632,genus
Colias_erate,4,OTU
Colias_fieldii,0,OTU
Colletes,9.333333333,OTU
Colletes_sp_01,9.333333333,OTU
Colletes_sp_02,9.333333333,genus
Conophorus_sp_01,8,family
Conopidae_sp_01,37.48169014,order
Corizus_sp_01,28,order
Crabronidae,14.8,OTU
Curculionidae_sp_01,27.81052632,order
Cycaena_pavana,2.216666667,family
Cylindromyia_sp_01,21,family
Dalmatomammurius_sp_01,28,order
Danaus_chrysippus,1.428571429,family
Delias_belladonna,8.216216216,family
Delias_eucharis,8.216216216,family
Dexia_sp_01,48,OTU
Dexia_sp_02,48,genus
Dexia_sp_03,48,genus
Dexia_sp_04,48,genus
Dexia_sp_05,48,genus
Dieunomia_sp_01,160.6862745,family
Dioxys_sp_01,104,family
Diptera,37.48169014,OTU
Elampus_sp_01,121.0471698,order
Empididae_sp_01,37.48169014,order
Epeoloides_sp_01,135.2275281,family
Epeolus_sp_01,135.2275281,family
Ephydridae_sp_01,37.48169014,order
Ephydridae_sp_02,37.48169014,order
Epistrophe_sp_01,63.64705882,family
Episyrphus,11.6,OTU
Episyrphus_sp_01,11.6,OTU
Episyrphus_sp_02,11.6,genus
Episyrphus_sp_03,11.6,genus
Eristalinus,28,OTU
Eristalinus_arbustorum,28,genus
Eristalinus_taeniops,28,genus
Eristalinus_sp_01,28,OTU
Eristalinus_sp_02,28,genus
Eristalinus_sp_03,28,genus
Eristalinus_sp_04,28,genus
Eristalinus_sp_05,28,genus
Eristalinus_sp_06,28,genus
Eristalis,73.53956835,OTU
Eristalis_arbustorum,68.54054054,OTU
Eristalis_cerealis,50.4,OTU
Eristalis_tenax,73,OTU
Eristalis_sp_01,78,OTU
Eristalis_sp_02,122,OTU
Eristalis_sp_03,73.53956835,genus
Eristalis_sp_04,85,OTU
Eucera_sp_01,135.2275281,family
Eueres_argiades,2.216666667,family
Eueres_lacturnus,2.216666667,family
Eumenes_sp_01,18.42666667,family
Eumerus_sp_01,63.64705882,family
Eumerus_sp_02,63.64705882,family
Eupeodes,28.5,OTU
Eupeodes_sp_01,28.5,genus
Eupeodes_sp_02,28.5,genus
Eupeodes_sp_03,37.33333333,OTU
Eupeodes_sp_04,2,OTU
Eupeodes_sp_05,28.5,genus
Eupeodes_sp_06,28.5,genus
Eupeodes_sp_07,28.5,genus
Eurydema_sp_01,28,order
Everes_argiades,2.216666667,family
Formicidae,121.0471698,order
Gonepteryx_rhamni,0,OTU
Gonia_sp_01,21,family
Gonia_sp_02,21,family
Goniophthalmus_sp_01,21,family
Graphomya_sp_01,0,OTU
Graphomya_sp_02,0,genus
Graphomya_sp_03,0,genus
Gymnosoma_sp_01,21,family
Habropoda_sp_01,58,genus
Habropoda_sp_02,58,OTU
Halictidae,160.6862745,OTU
Halictus,287.3333333,OTU
Halictus_sp_01,246.6666667,OTU
Halictus_sp_02,182,OTU
Halictus_sp_03,620,OTU
Haltica_cyanea,27.81052632,order
Harmonia,4,family
Heliophorus,4,OTU
Heliophorus_androcles,4,genus
Heliophorus_tamu,4,OTU
Hemipenthes_sp_01,8,genus
Hemipenthes_sp_02,8,OTU
Hemiptera,28,OTU
Hemiptera_sp_01,28,genus
Hemiptera_sp_02,28,genus
Hemipyrellia,7,OTU
Hemipyrellia_sp_01,6,OTU
Hemipyrellia_sp_02,10,OTU
Hemipyrellia_sp_03,7,genus
Hemipyrellia_sp_04,7,genus
Henosepilachna_sp_01,4,OTU
Heriades_sp_01,104,family
Heriades_sp_02,104,family
Hesperiidae,4.376237624,order
Heteraspis_sp_01,27.81052632,order
Hippodamia_variegata,4,family
Hippodamia_sp_01,4,family
Hippodamia_sp_02,4,family
Hybomitra_sp_01,10,OTU
Hylaeus,9.333333333,family
Hylaeus_sp_01,9.333333333,family
Hyleorus_sp_01,21,family
Hymenoptera,121.0471698,OTU
Hyphasoma_sp_01,27.81052632,order
Hyphasoma_sp_02,27.81052632,order
Hyphasoma_sp_03,27.81052632,order
Hypopygiopsis_sp_01,13.58083832,family
Ichneumonidae,121.0471698,order
Ichneumonidae_sp_01,121.0471698,order
Issoria_issaea,1.428571429,family
Junonia_iphita,1.428571429,family
Lacon_sp_01,27.81052632,order
Lampides_boeticus,0,OTU
Lampropteryx,4.376237624,order
Laphria_sp_01,5,family
Lasioglossum,156.6666667,OTU
Lasioglossum_sp_01,137.8222222,OTU
Lasioglossum_sp_02,184.4864865,OTU
Lasioglossum_sp_03,142.8,OTU
Lasiommata_schakra,1.428571429,family
Lepidoptera,4.376237624,OTU
Lestica_sp_01,8,genus
Lestica_sp_02,8,genus
Lestica_sp_03,8,OTU
Lexiphanes_sp_01,27.81052632,order
Lexiphanes_sp_02,27.81052632,order
Linnaemya_sp_01,21,family
Linnaemya_sp_02,21,family
Lithurgus_sp_01,104,family
Litorhina_sp_01,8,family
Lucilia,14.09655172,OTU
Lucilia_sp_01,15.26666667,OTU
Lucilia_sp_02,10,OTU
Lucilia_sp_03,6,OTU
Lucilia_sp_04,3.333333333,OTU
Lucilia_sp_05,14.09655172,genus
Lycaena_pavana,8,OTU
Lycaena_phlaeas,8,genus
Lycaenidae,2.216666667,OTU
Lygaeidae_sp_01,28,order
Lygus_sp_01,28,OTU
Lygus_sp_02,28,genus
Machimus_sp_01,5,genus
Machimus_sp_02,5,OTU
Maladara_sp_01,26.79518072,family
Megachile,104,OTU
Megachile_sp_01,208,OTU
Megachile_sp_02,104,genus
Megachile_sp_03,104,genus
Megachilidae,104,OTU
Melanostoma,63.64705882,family
Melanostoma_sp_01,63.64705882,family
Meliscaeva_sp_01,63.64705882,family
Melitaea_arcesia,0,OTU
Melitoma_sp_01,135.2275281,family
Melitta,121.0471698,order
Melitta_sp_01,121.0471698,order
Meringia_sp_01,63.64705882,family
Meristata_sp_01,27.81052632,order
Meristata_sp_02,27.81052632,order
Microcerella_sp_01,14,OTU
Mimastra_sp_01,27.81052632,order
Musca_sp_01,4,OTU
Muscidae,2,OTU
Mylabris_sp_01,98,OTU
Mylabris_sp_02,96,OTU
Mylabris_sp_03,97.5,genus
Myorhina_sp_01,22,family
Myorhina_sp_02,22,family
Myrmelontidae_sp_01,0,antlion
Necrophorus_sp_01,27.81052632,order
Nemestrinidae_sp_01,37.48169014,order
Neozephyrus_syla,2.216666667,family
Neptis,1.428571429,family
Nezara_sp_01,28,order
Nomada,135.2275281,family
Nomada_sp_01,135.2275281,family
Nomia_sp_01,160.6862745,family
Nonarthra_sp_01,27.81052632,order
Nonarthra_sp_02,27.81052632,order
Nymphalidae,1.428571429,OTU
Odontomyia_sp_01,37.48169014,order
Oiceoptoma_sp_01,27.81052632,order
Omalus_sp_01,121.0471698,order
Onthophagus_sp_01,26.79518072,family
Oreoderus_sp_01,26.79518072,family
Oreolyce_vardhana,2.216666667,family
Orthoptera,3.6,family
Osmia_sp_01,104,family
Oxybelus_sp_01,14.8,family
Palomena_sp_01,28,order
Papilio_machaon,4.376237624,order
Paragus_sp_01,10,genus
Paragus_sp_02,10,genus
Paragus_sp_03,10,genus
Paragus_sp_04,10,OTU
Parasyrphus_sp_01,63.64705882,family
Paridea_octomaculata,27.81052632,order
Paridea_tetraspilota,27.81052632,order
Paridea_sp_01,27.81052632,order
Paridea_sp_03,27.81052632,order
Parnara_guttata,4.376237624,order
Perilissus_sp_01,121.0471698,order
Peteina_sp_01,21,family
Philonicus_sp_01,5,family
Pieridae,8.216216216,OTU
Pieris,8.647058824,OTU
Pieris_brassicae,9.4,OTU
Pieris_canidia,3.666666667,OTU
Pieris_indica,8.647058824,genus
Pieris_napi,8.647058824,genus
Platycheirus_sp_01,63.64705882,family
Platycheirus_sp_02,63.64705882,family
Platycis_sp_01,27.81052632,order
Platydialepis_sp_01,121.0471698,order
Plecia_sp_01,18,OTU
Polistes,17.671875,OTU
Polistes_sp_01,17.62962963,OTU
Polistes_sp_02,25.16666667,OTU
Polistes_sp_03,8.666666667,OTU
Polistes_sp_04,8,OTU
Polistes_sp_05,2,OTU
Polistes_sp_06,6,OTU
Polleniopsis,10,OTU
Polleniopsis_sp_01,10,genus
Polleniopsis_sp_02,10,genus
Polleniopsis_sp_03,10,genus
Polyommatus_nepalensis,2.216666667,family
Pontia_daplidice,8.216216216,family
Popilia_sp_01,14,OTU
Popilia_sp_02,34,OTU
Popillia,23.87301587,OTU
Popillia_japonica,19.52941176,OTU
Popillia_sp_01,25.11111111,OTU
Popillia_sp_02,25.16666667,OTU
Potanthus_dara,4.376237624,order
Prosena_sp_01,21,family
Prosena_sp_02,21,family
Protaetia_neglecta,2,genus
Protaetia_sp_01,2,OTU
Protandrena_sp_01,206.2982456,family
Pseudogonia_sp_01,21,family
Pseudogonia_sp_02,21,family
Pseudogonia_sp_03,21,family
Pseudomalus_sp_01,121.0471698,order
Rapala_selira,2.216666667,family
Rhagionidae_sp_01,0,OTU
Rhagonycha_sp_01,4,OTU
Rhaphicera_moorei,1.428571429,family
Rhopalum_sp_01,14.8,family
Sarcophagidae,22,OTU
Scaeva,58,OTU
Scaeva_sp_01,58,OTU
Scaeva_sp_02,58,genus
Scaeva_sp_03,58,genus
Scaeva_sp_04,58,genus
Sceliphron_sp_01,14,family
Sericophara_guttata,4.376237624,order
Sericophorus_sp_01,8,OTU
Sicus_sp_01,37.48169014,order
Silbomyia_sp_01,22,OTU
Silbomyia_sp_02,22,OTU
Sphaerophoria,63.64705882,family
Sphaerophoria_sp_01,63.64705882,family
Sphaerophoria_sp_02,63.64705882,family
Sphecidae,14,OTU
Sphecodes_sp_01,160.6862745,family
Stizus_sp_01,14.8,family
Stomorhina_sp_01,37.48169014,order
Stomorhina_sp_02,37.48169014,order
Stratiomyidae,37.48169014,order
Stratiomys_sp_01,37.48169014,order
Stratiomys_sp_02,37.48169014,order
Syritta_sp_01,63.64705882,family
Syritta_sp_02,63.64705882,family
Syrphidae,63.64705882,OTU
Syrphus,14.66666667,OTU
Syrphus_sp_01,16,OTU
Syrphus_sp_02,14,OTU
Syrphus_sp_03,14.66666667,genus
Syrphus_sp_05,14.66666667,genus
Systoechus_sp_01,8,family
Systoechus_sp_02,8,family
Tabanidae,10,OTU
Tachina_sp_01,22,OTU
Tachina_sp_02,22,genus
Tachina_sp_03,22,genus
Tachina_sp_04,22,genus
Tachinidae,21,OTU
Taractrocera_danna,4.376237624,order
Tenthredinidae,56.37974684,OTU
Tenthredo,56.87179487,OTU
Tenthredo_sp_01,64.8852459,OTU
Tenthredo_sp_02,8,OTU
Tenthredo_sp_03,8,OTU
Tenthredo_sp_04,12,OTU
Tenthredo_sp_05,78,OTU
Tenthredo_sp_06,31,OTU
Tenthredo_sp_07,21,OTU
Tenthredo_sp_08,12,OTU
Tenthredo_sp_09,56.87179487,genus
Tephritidae_sp_01,37.48169014,order
Tetralonia,405,OTU
Tetralonia_sp_01,405,genus
Tetralonia_sp_02,405,OTU
Tetralonia_sp_03,405,genus
Thecophora_sp_01,37.48169014,order
Tolmerus_sp_01,5,family
Triepeolus_sp_01,135.2275281,family
Trypoxylon_sp_01,14.8,family
Vanessa_cardui,2,OTU
Vanessa_indica,2,genus
Vespa_sp_01,34,OTU
Vespa_sp_02,23,OTU
Vespidae,18.42666667,OTU
Vespula,18,OTU
Vespula_sp_01,54,OTU
Vespula_sp_02,12.66666667,OTU
Vespula_sp_03,2,OTU
Vespula_sp_04,14,OTU
Villa_sp_01,8,family
Volucella,63.64705882,family
Volucella_sp_01,63.64705882,family
Volucella_sp_02,63.64705882,family
Xylocopa_sp_01,135.2275281,family
Xylocopa_sp_03,135.2275281,family
Ypthima,1.428571429,family
Ypthima_nareda,1.428571429,family
Ypthima_newara,1.428571429,family
Ypthima_sakra,1.428571429,family
Zelus_sp_01,28,order
